

지점정보,경도,위도,강수일수
고산(185),126.16283,33.29382,6
부여(236),126.92079,36.27242,16
울진(130),129.41278,36.99176,16
장흥(260),126.91951,34.68886,13
충주(127),127.9525,36.97045,19
흑산도(169),125.45105,34.68719,10
백령도(102),124.71237,37.97396,13
보성군(258),127.21226,34.76335,14
전주(146),127.11718,35.84092,17
진주(192),128.04004,35.16378,12
정읍(245),126.83904,35.56337,15
동해(106),129.12433,37.50709,17
보은(226),127.73415,36.48761,20
청송군(276),129.04005,36.4351,17
원주(114),127.94659,37.33749,21
합천(285),128.16994,35.56505,15
순창군(254),127.1286,35.37131,17
거창(284),127.9099,35.66739,15
이천(203),127.48421,37.26399,20
추풍령(135),127.99458,36.22025,18
군산(140),126.76135,36.0053,17
대구(143),128.65296,35.87797,14
서귀포(189),126.5653,33.24616,11
여수(168),127.74063,34.73929,14
속초(90),128.56473,38.25085,19
정선군(217),128.6459,37.38149,19
함양군(264),127.74538,35.51138,15
거제(294),128.60459,34.88818,10
포항(138),129.38002,36.03201,12
고창(172),126.599,35.34824,14
대관령(100),128.71834,37.67713,20
영광군(252),126.47784,35.28366,16
제천(221),128.19433,37.15928,20
동두천(98),127.0607,37.90188,23
통영(162),128.43561,34.84541,11
임실(244),127.28556,35.61203,17
경주시(283),129.2009,35.8174,11
목포(165),126.38151,34.81732,12
세종(239),127.24438,36.48522,18
양산시(257),129.02009,35.30737,12
장수(248),127.52031,35.65696,18
문경(273),128.14879,36.62727,20
북강릉(104),128.85535,37.80456,18
청주(131),127.44066,36.63924,19
서산(129),126.4939,36.77658,16
진도군(268),126.25846,34.47296,10
춘천(101),127.7357,37.90262,19
북춘천(93),127.75443,37.94738,17
상주(137),128.15741,36.40837,18
남원(247),127.39652,35.4213,17
홍천(212),127.88043,37.6836,18
수원(119),126.983,37.25746,19
영월(121),128.45743,37.18126,19
인천(112),126.6249,37.47772,14
대전(133),127.3721,36.37199,18
순천(174),127.3694,35.0204,13
밀양(288),128.74412,35.49147,13
파주(99),126.76648,37.88589,17
금산(238),127.48175,36.10563,17
의령군(263),128.28812,35.32258,13
광주(156),126.89156,35.17294,13
영덕(277),129.40926,36.53337,15
인제(211),128.16714,38.05986,20
강진군(259),126.78408,34.64457,12
남해(295),127.92641,34.81662,10
부산(159),129.03203,35.10468,12
제주(184),126.52969,33.51411,6
천안(232),127.29282,36.76217,19
고흥(262),127.27572,34.61826,11
홍성(177),126.68772,36.65759,19
구미(279),128.32055,36.13055,18
광양시(266),127.6914,34.9434,14
성산(188),126.8802,33.38677,10
울산(152),129.33469,35.58237,12
태백(216),128.98929,37.17038,19
봉화(271),128.91449,36.94361,19
창원(155),128.57282,35.17019,12
철원(95),127.3042,38.14787,23
서울(108),126.9658,37.57142,19
안동(136),128.70733,36.57293,18
부안(243),126.71657,35.72961,17
해남(261),126.56907,34.55375,12
양평(202),127.49446,37.48863,21
북창원(255),128.6726,35.22655,12
산청(289),127.8791,35.413,15
영천(281),128.9514,35.97742,14
강화(201),126.44634,37.70739,21
강릉(105),128.89099,37.75147,16
영주(272),128.51687,36.87183,19
울릉도(115),130.89863,37.48129,10
고창군(251),126.697,35.42661,16
김해시(253),128.89075,35.22981,13
완도(170),126.70182,34.3959,11
의성(278),128.68864,36.3561,17
보령(235),126.55744,36.32724,18
