place,count_market,count_stores,local_money
성남시,30,3848,True
수원시,22,3240,False
부천시,18,1787,False
포천시,10,603,True
파주시,7,818,False
평택시,5,1283,True
안양시,5,1027,True
양평군,4,1634,False
화성시,4,1395,False
안성시,4,388,False
김포시,4,354,False
시흥시,4,320,True
동두천시,4,309,False
고양시,4,284,False
의정부시,3,762,False
남양주시,3,336,False
양주시,3,336,False
이천시,3,238,False
용인시,2,620,False
광명시,2,592,False
과천시,2,261,True
군포시,2,260,False
가평군,2,241,False
하남시,2,224,False
안산시,1,410,True
구리시,1,388,False
오산시,1,350,False
의왕시,1,113,True
광주시,1,80,False
연천군,1,65,False
여주군,0,0,False
